Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
477,29.0,170.0,61.0,Dustin Kimura,31.0,162.0,56.0,Henry Cejudo,DEC,red
478,31.0,167.0,52.0,Joanna Jedrzejczyk,29.0,162.0,52.0,Claudia Gadelha,DEC,blue
479,37.0,182.0,70.0,Garett Whiteley,29.0,175.0,70.0,David Michaud,DEC,red
480,35.0,187.0,84.0,CB Dollaway,40.0,185.0,84.0,Lyoto Machida,KO/TKO,red
481,39.0,182.0,93.0,Igor Pokrajac,33.0,185.0,93.0,Marcos Rogerio de Lima,KO/TKO,red
482,33.0,175.0,70.0,Rashid Magomedov,32.0,180.0,70.0,Elias Silverio,KO/TKO,blue
483,37.0,187.0,93.0,Patrick Cummins,,,,Antonio Carlos Junior,DEC,blue
484,33.0,165.0,61.0,Mitch Gagnon,31.0,167.0,61.0,Renan Barao,SUB,red
485,28.0,185.0,77.0,Mike Rhodes,34.0,182.0,77.0,Erick Silva,SUB,red
486,30.0,177.0,84.0,Antonio Dos Santos,36.0,175.0,84.0,Daniel Sarafian,KO/TKO,red
487,29.0,180.0,65.0,Renato Moicano,36.0,175.0,65.0,Tom Niinimaki,SUB,blue
488,34.0,172.0,70.0,Hacran Dias,34.0,177.0,65.0,Darren Elkins,DEC,blue
489,29.0,177.0,56.0,Ulka Sasaki,35.0,170.0,61.0,Leandro Issa,SUB,red
490,34.0,187.0,77.0,Tim Means,29.0,182.0,77.0,Marcio Alexandre Junior,DEC,blue
491,31.0,177.0,77.0,Yancy Medeiros,33.0,177.0,77.0,Joe Proctor,SUB,blue
492,28.0,177.0,70.0,Charles Oliveira,32.0,175.0,65.0,Jeremy Stephens,DEC,blue
493,33.0,172.0,70.0,Daron Cruickshank,35.0,177.0,70.0,KJ Noons,,no contest
494,35.0,162.0,52.0,Lisa Ellis,34.0,162.0,52.0,Felice Herrig,SUB,red
495,35.0,154.0,52.0,Angela Magana,29.0,154.0,52.0,Tecia Torres,DEC,red
496,31.0,157.0,52.0,Seohee Ham,32.0,167.0,56.0,Joanne Calderwood,DEC,red
497,38.0,167.0,52.0,Heather Jo Clark,29.0,167.0,56.0,Bec Rawlings,DEC,blue
498,39.0,160.0,52.0,Alex Chambers,30.0,157.0,52.0,Aisling Daly,SUB,red
499,33.0,160.0,52.0,Angela Hill,37.0,160.0,52.0,Emily Peters Kagan,DEC,blue
500,26.0,165.0,52.0,Rose Namajunas,30.0,154.0,52.0,Carla Esparza,SUB,red
501,33.0,162.0,52.0,Randa Markos,35.0,165.0,52.0,Jessica Penne,DEC,red
502,39.0,170.0,65.0,Dennis Siver,30.0,175.0,70.0,Conor McGregor,KO/TKO,red
503,34.0,175.0,77.0,Benson Henderson,35.0,185.0,77.0,Donald Cerrone,DEC,red
504,35.0,182.0,84.0,Ron Stallings,34.0,182.0,84.0,Uriah Hall,KO/TKO,red
